Open,Close,High,Low,Volume,Date
8.5475,8.47,8.565,8.4575,,04/14/20
8.64,8.5425,8.7,8.505,,04/13/20
8.555,8.635,8.67,8.5375,,04/09/20
8.5575,8.545,8.605,8.5175,,04/08/20
8.56,8.5475,8.6225,8.5425,,04/07/20
8.535,8.555,8.59,8.485,,04/06/20
8.5975,8.5425,8.645,8.505,,04/03/20
8.6475,8.5875,8.7,8.57,,04/02/20
8.8575,8.6275,8.8725,8.6075,,04/01/20
8.825,8.86,8.875,8.7575,,03/31/20
8.8,8.8225,8.925,8.7675,,03/30/20
8.79,8.815,8.8875,8.7525,,03/27/20
8.825,8.8025,8.845,8.7125,,03/26/20
8.85,8.815,8.97,8.805,,03/25/20
8.84,8.8675,8.8775,8.725,,03/24/20
8.6,8.84,8.8525,8.5825,,03/23/20
8.4575,8.625,8.6475,8.455,,03/20/20
8.2925,8.4325,8.5575,8.25,,03/19/20
8.245,8.255,8.385,8.2225,,03/18/20
8.2475,8.2425,8.325,8.22,,03/17/20
8.42,8.2175,8.5475,8.21,,03/16/20
0,8.4675,0,0,,03/13/20
8.7125,8.55,8.7125,8.5375,,03/12/20
8.7625,8.6775,8.785,8.685,,03/11/20
8.7425,8.73,8.795,8.715,,03/10/20
8.65,8.635,8.7175,8.6175,,03/09/20
8.9075,8.8325,8.92,8.82,,03/06/20
8.965,8.89,8.965,8.9,,03/05/20
8.985,8.9875,9.0075,8.9725,,03/04/20
8.9125,8.93,8.955,8.8925,,03/03/20
8.8375,8.905,8.95,8.8375,,03/02/20
8.8625,8.835,8.8725,8.745,,02/28/20
8.805,8.8625,8.8775,8.6675,,02/27/20
8.795,8.81,8.8825,8.755,,02/26/20
8.755,8.79,8.8075,8.7325,,02/25/20
8.88,8.7425,8.885,8.7075,,02/24/20
8.92,8.905,9.02,8.875,,02/21/20
8.965,8.9275,8.98,8.9125,,02/20/20
8.9225,8.9725,8.9825,8.85,,02/19/20
8.9475,8.9225,8.985,8.8925,,02/18/20
8.9625,8.9375,8.9925,8.9,,02/14/20
8.91,8.9625,8.9975,8.885,,02/13/20
8.855,8.925,8.93,8.815,,02/12/20
8.8575,8.8475,8.89,8.78,,02/11/20
8.83,8.8425,8.8975,8.795,,02/10/20
8.8325,8.82,8.8475,8.7625,,02/07/20
8.8,8.81,8.8625,8.7675,,02/06/20
8.8,8.8,8.88,8.78,,02/05/20
8.7625,8.795,8.87,8.7375,,02/04/20
8.7075,8.77,8.7875,8.6875,,02/03/20
8.8,8.725,8.8275,8.7225,,01/31/20
8.935,8.7625,8.9375,8.755,,01/30/20
8.96,8.93,9.03,8.9075,,01/29/20
8.975,8.95,8.98,8.885,,01/28/20
8.9925,8.9725,9,8.8825,,01/27/20
9.0925,9.02,9.0925,9.0075,,01/24/20
9.14,9.095,9.1475,9.04,,01/23/20
9.17,9.1375,9.22,9.1325,,01/22/20
9.3,9.16,9.315,9.1525,,01/21/20
9.245,9.2975,9.335,9.2,,01/17/20
9.2975,9.24,9.3025,9.22,,01/16/20
0,9.2875,0,9.2825,,01/15/20
9.29,9.285,9.3475,9.29,,01/14/20
9.385,9.2925,9.385,9.295,,01/13/20
9.315,9.35,9.355,9.275,,01/10/20
9.4325,9.3375,9.4325,9.31,,01/09/20
9.3625,9.3825,9.4,9.3575,,01/08/20
9.335,9.35,9.3475,9.2875,,01/07/20
9.2925,9.3275,9.3625,9.29,,01/06/20
9.445,9.305,9.4525,9.2675,,01/03/20
9.4325,9.4425,9.49,9.4175,,01/02/20
