Open,Close,High,Low,Volume,Date
181.75,180.25,182,180.25,,08/03/20
183.5,182.75,184.5,182.25,,07/31/20
180.75,183,184.5,180.25,,07/30/20
181.25,181.75,183.25,181,,07/29/20
182.75,180.75,183.25,180.25,,07/28/20
184.75,182.75,195.5,182.5,,07/27/20
184,185.75,186.25,172,,07/24/20
183.75,183.5,184.25,183,,07/23/20
182.75,183.75,184,181.5,,07/22/20
181.75,183,183.5,181,,07/21/20
184.75,181.75,185,180.75,,07/20/20
186,184.75,186.75,184.75,,07/17/20
187.75,185.75,189.25,185.5,,07/16/20
186,187.25,187.5,185,,07/15/20
185.5,185.5,186.75,185.25,,07/14/20
186.75,184.75,187.5,184.5,,07/13/20
187.5,187,189.75,186.25,,07/10/20
188.75,187.75,189,187.25,,07/09/20
185,187,187.25,172,,07/08/20
182,184.75,185,181.75,,07/07/20
182.75,182.5,183.25,181.5,,07/06/20
181,182.75,183.5,180.5,,07/03/20
181,181,181.5,180.75,,07/02/20
181.25,181.5,182.25,179.5,,07/01/20
178.25,180.5,181,172,,06/30/20
176,179.25,179.75,172,,06/29/20
177.25,176.25,177.75,175.75,,06/26/20
177,177.25,178.25,172,,06/25/20
176.75,177,178,176.5,,06/24/20
178.25,177,179.5,176.5,,06/23/20
179.5,178.5,179.75,178.25,,06/22/20
180.25,180.5,181,179,,06/19/20
180.75,180,182,179.75,,06/18/20
179.5,180.25,180.75,178.25,,06/17/20
181.5,179.75,182,179.5,,06/16/20
183,181.25,195.5,181,,06/15/20
182,183.5,183.75,172,,06/12/20
184.25,182.5,184.5,182.25,,06/11/20
184.75,185,185.75,184.5,,06/10/20
185.75,184.5,186,184.25,,06/09/20
186.25,186,187,184.75,,06/08/20
187.25,186.75,188.25,185.75,,06/05/20
186,187.5,188.75,185.25,,06/04/20
184,184.75,185.5,183.75,,06/03/20
186.5,184.25,187.25,183.75,,06/02/20
188,186.5,188.25,185.25,,06/01/20
187.75,188.25,189,186.5,,05/29/20
186.25,187.25,187.25,185.75,,05/28/20
188,186.5,188.75,186,,05/27/20
188.5,187.75,195.5,186.75,,05/26/20
188.5,189.25,189.5,188,,05/25/20
188.5,188.25,189,187.25,,05/22/20
189,190,190.25,188.25,,05/21/20
184.5,188,188.25,184.25,,05/20/20
184.25,185,185.75,183.5,,05/19/20
186.25,184.5,187,184.25,,05/18/20
185.5,186.5,187,185.25,,05/15/20
183.5,185,185.5,183,,05/14/20
186,184,186.25,184,,05/13/20
187.25,186.5,187.5,185.75,,05/12/20
195,200,204,190,,05/11/20
207,200.5,208.5,199,,05/08/20
204.25,206.25,209.5,173,,05/07/20
200,203.5,204.25,173,,05/06/20
196.25,199.75,200,173,,05/05/20
195,196.5,197.25,173,,05/04/20
194.5,195.75,196,194.25,,04/30/20
195.5,194.75,196.5,194.5,,04/29/20
196,196.25,197.75,195.25,,04/28/20
197,196,206,195.75,,04/27/20
199.25,197.75,206,197.25,,04/24/20
204,199.25,204.75,199.25,,04/23/20
202.75,203.25,203.5,202.25,,04/22/20
202.5,203.75,205.5,173,,04/21/20
201,203.75,206,173,,04/20/20
195.75,198.5,199.25,195.25,,04/17/20
195,196.5,198,173,,04/16/20
195,194.75,196,194.25,,04/15/20
198.75,197,199.5,196.5,,04/14/20
197.25,198,199.5,173,,04/09/20
196.5,197.25,198.25,195.5,,04/08/20
194,195.5,196.5,193.75,,04/07/20
192.75,195.25,195.75,192.5,,04/06/20
192.25,191,193.5,190.75,,04/03/20
192.25,190.75,193.5,190.25,,04/02/20
195.25,193.5,204.5,193,,04/01/20
196.5,196.25,197,195.5,,03/31/20
195.5,196.25,197.5,173,,03/30/20
194.75,195,197.5,194.25,,03/27/20
196.5,193.5,197.75,193.5,,03/26/20
195.25,197.75,198,193.5,,03/25/20
193.75,194.75,195.5,192.5,,03/24/20
194.75,196.5,198,194,,03/23/20
193.5,191.25,194.5,189.25,,03/20/20
186,189.25,190,185.75,,03/19/20
178.25,184,185,178,,03/18/20
175.25,179.25,179.75,175,,03/17/20
176,175.25,204.5,174.5,,03/16/20
179.25,177.5,180.5,177,,03/13/20
175.5,177.75,178.75,174.25,,03/12/20
178.25,177.25,204.5,176.75,,03/11/20
175,172.5,204.25,172.5,,03/10/20
185,170,204.25,170,,03/09/20
187.5,183.75,188,185,,03/06/20
187.75,188,189,186,,03/05/20
186.25,187.25,190.5,186,,03/04/20
187.5,187,188.75,187,,03/03/20
189,186.75,189.5,186.5,,03/02/20
190.75,187.5,191,185.25,,02/28/20
192.5,191.5,204.25,191.5,,02/27/20
192.25,192.5,193.25,191.75,,02/26/20
192.25,192.5,192.75,191.5,,02/25/20
193.5,192.25,194,192,,02/24/20
195.75,195,196.75,194.5,,02/21/20
195.75,196,196.5,195.5,,02/20/20
196.5,195.75,196.75,195,,02/19/20
195.5,196,196.5,195.25,,02/18/20
193.5,194,194.5,193.25,,02/17/20
193,194,194.5,170,,02/14/20
192.75,192.75,193.25,192.5,,02/13/20
191.5,192.5,193,191.25,,02/12/20
194.75,192.5,195,191.75,,02/11/20
193,194.75,195.25,170,,02/10/20
193,193.25,193.75,192.5,,02/07/20
193.5,193,194,192.75,,02/06/20
191.75,193.75,194.25,191.5,,02/05/20
190.5,190.75,192,170,,02/04/20
189.5,189.5,190.5,189.25,,02/03/20
192.5,191,204.25,190.5,,01/31/20
191.75,192.25,193.25,190.75,,01/30/20
194.25,192.5,194.5,192,,01/29/20
193.75,194.5,195,193.25,,01/28/20
193.5,194.25,194.5,192.25,,01/27/20
195.75,195.5,196.5,195,,01/24/20
196.25,196.25,197.25,195.25,,01/23/20
199.5,195.75,199.75,195.5,,01/22/20
195.25,198.25,198.5,195,,01/21/20
194.5,195.75,196.25,170,,01/20/20
193.25,194,194.25,192.75,,01/17/20
194,193,194.25,192.75,,01/16/20
194.5,195.25,196.25,193.25,,01/15/20
192.75,194.25,195,170,,01/14/20
191.5,193,193.25,191.25,,01/13/20
192.25,191.5,204.25,190.5,,01/10/20
190.25,191.75,192,170,,01/09/20
189,190,190.25,188.75,,01/08/20
188.25,188.5,188.75,188,,01/07/20
188,188.25,189.75,187.5,,01/06/20
188.5,188.5,189,188,,01/03/20
188.75,189.5,190.75,170,,01/02/20
